Serial No. (Labelled on tag),EPC ID,Linked Truck Licence Number
1,E28038212000602702F331AC,NAP6182
2,E28038212000602702ED2693,ALA9893
3,E28038212000602607C13A82,NIF4992
4,E28038212000602607C1087C,NIL4535
5,E28038212000602702ED22B5,
6,E28038212000602702ED25EB,CCN2485
7,E28038212000602607C0B26C,NHE9289
8,E28038212000602702ED265F,ABF3058
9,E28038212000602607C0E33C,CCN9373
10,E28038212000602702ED2699,CAA5049
11,E28038212000602607C1167B,NCK5341
12,E28038212000602607C0BE7B,NAM1183
13,E28038212000602702ED26B3,NDM5912
14,E28038212000602702ED2652,KAR4412
15,E28038212000602702F2E8B7,NAP6193
16,E28038212000602607C0A7F5,CAS5860
17,E28038212000602702ED1DF4,CBR8915
18,E28038212000602702ED255E,CBQ6122
19,E28038212000602702ED2681,NAF6399
20,E28038212000602702ED23F3,AMA2600
21,E28038212000602702ED2432,NFK2388
22,E28038212000602702ED25ED,NBK4013
23,E28038212000602702F355D9,NER5153
24,E28038212000602607C12178,NBR6284
25,E28038212000602607C0F08D,NEO4907
26,E28038212000602702ED2349,NAK9067
27,E28038212000602607C184BB,NAG4729
28,E28038212000602607C08F25,CAI4071
29,E28038212000602702ED26FE,NIC3666
30,E28038212000602702ED21B0,NIE2448
31,E28038212000602607C0B511,CBF1010
32,E28038212000602702ED227D,NDZ5797
33,E28038212000602702ED21B3,NFD5191
34,E28038212000602607C0C160,NAY1320
35,E28038212000602702ED2047,NDJ2415
36,E28038212000602607C0B50E,NIN6442
37,E28038212000602607C1087F,NEJ2334
38,E28038212000602702ED1EF4,NGS2337
39,E28038212000602607C143B9,NAM1185
40,E28038212000602607C12E82,NIO4091
41,E28038212000602607C14F63,NCZ8036
42,E28038212000602607C143BA,ABK1346
43,E28038212000602702ED2402,CCE3764
44,E28038212000602702ED275E,NBD2182
45,E28038212000602607C1139D,NIK4308
46,E28038212000602607C0D71A,CCO8049
47,E28038212000602702ED1D24,NGP8176
48,E28038212000602702ED242D,
49,E28038212000602702ED1CC0,NBK4103
50,E28038212000602702ED1D40,CBP3950
51,E28038212000602702ED2224,CBF5390
52,E28038212000602702ED24AB,CBP6854
53,E28038212000602702ED1FE8,CBQ7860
54,E28038212000602702ED262D,RNL386
55,E28038212000602702ED23B1,NEG5701
56,E28038212000602702ED26FA,
57,E28038212000602607C165B4,CBQ3150
58,E28038212000602607C06565,NAT3060
59,E28038212000602702ED2449,CBN6308
60,E28038212000602607C083AF,WIG591
61,E28038212000602702ED2587,CBQ9481
62,E28038212000602702ED1D14,CBA5148
63,E28038212000602607C08F13,NIO4675
64,E28038212000602702ED2485,CBQ6817
65,E28038212000602702ED23AB,NEJ2336
66,E28038212000602702ED232D,NBC5286
67,E28038212000602702ED20C8,NIK4309
68,E28038212000602702ED26CE,CDK5262
69,E28038212000602702ED2712,ABO1537
70,E28038212000602702ED271D,NCK3688
71,E28038212000602702ED24B7,NBK4101
72,E28038212000602607C122C4,NBK4100
73,E28038212000602702F331AF,NDJ2408
74,E28038212000602702ED20A4,NAH9607
75,E28038212000602702F2C4CB,NIA1094
76,E28038212000602702F355DC,NHF6961
77,E28038212000602607C14651,NAP6461
78,E28038212000602702ED20AB,NEG1873
79,E28038212000602607C083AB,NCJ8432
80,E28038212000602702ED1CF8,NDR6911
81,E28038212000602702ED1E84,RKB862
82,E28038212000602607C0C163,NII1211
83,E28038212000602702ED216B,NEX1974
84,E28038212000602702ED2238,NDM3216
85,E28038212000602702ED2140,NAM1046
86,E28038212000602702ED1FD0,NBF2076
87,E28038212000602607C0BE8D,NGJ3662
88,E28038212000602607C06E08,NDD9163
89,E28038212000602607C083A1,CBP1414
90,E28038212000602702ED26A5,NDF5264
91,E28038212000602702ED1EC4,NBE7513
92,E28038212000602607C05B20,NAG4727
93,E28038212000602607C18E18,NEX1972
94,E28038212000602607C04809,NAN4757
95,E28038212000602607C0CDC9,NFZ5329
96,E28038212000602702ED1EB8,NDN9863
97,E28038212000602702ED24A9,NIK4307
98,E28038212000602702ED220C,NBG6676
99,E28038212000602702ED2240,NEP5869
100,E28038212000602607C18E13,NET7375
101,E28038212000602702ED1E00,NAP6767
102,E28038212000602702ED2183,MAP6453
103,E28038212000602607C17ACB,NGU7954
104,E28038212000602702ED22CE,NEV8572
105,E28038212000602607C06381,397220666
106,E28038212000602607C19F54,CBJ8146
107,E28038212000602607C09D7B,NEA2255
108,E28038212000602702ED246A,NCK7628
109,E28038212000602702F2DC8D,CCE1180
110,E28038212000602702ED1E44,CDK4377
111,E28038212000602702ED201F,NAS4482
112,E28038212000602702ED1FD3,NIH6559
113,E28038212000602607C091A5,ALA8212
114,E28038212000602607C18E19,NIL4786
115,E28038212000602702ED26F5,NGP8175
116,E28038212000602702ED1CEC,ABO1244
117,E28038212000602702ED26AE,NCJ8435
118,E28038212000602607C17257,NBK3945
119,E28038212000602702ED2038,NEO2134
120,E28038212000602702ED2683,NEJ4110
121,E28038212000602702F2C4CA,NCE1456
122,E28038212000602702ED23FF,NCZ4507
123,E28038212000602702F2C4C2,NCX5599
124,E28038212000602702ED2875,NEG1872
125,E28038212000602702F2C4CC,ABI9901
126,E28038212000602702ED22CA,NBQ5725
127,E28038212000602702F34A4F,NEJ2328
128,E28038212000602702ED25AA,NFK5159
129,E28038212000602702ED24A7,NIL4787
130,E28038212000602702ED269B,NHE6017
131,E28038212000602702ED239F,NDZ2329
132,E28038212000602702ED234F,ABR3299
133,E28038212000602702ED257A,NAK9389
134,E28038212000602607C1213B,ABS6751
135,E28038212000602702ED25C3,ABK8216
136,E28038212000602607C0FCA4,NAY1067
137,E28038212000602702ED2776,NEP7181
138,E28038212000602702ED24A2,NET7373
139,E28038212000602702ED2719,NAR1500
140,E28038212000602702ED277E,CCE5024
141,E28038212000602702F2D0CB,CBP1250
142,E28038212000602702ED222C,NBM1946
143,E28038212000602702ED261E,NAR1254
144,E28038212000602702ED26D5,AAV3590
145,E28038212000602702ED238B,NIU9283
146,E28038212000602702ED26A7,NEV7141
147,E28038212000602702ED25B3,NEP5868
148,E28038212000602607C143B1,NBG1310
149,E28038212000602702ED23DA,CBA2925
150,E28038212000602702ED22F4,CDJ2359
151,E28038212000602702ED232E,CBR1451
152,E28038212000602702ED257E,NAK9362
153,E28038212000602702ED272E,CCM9842
154,E28038212000602702ED23CB,NGL7313
155,E28038212000602702ED24C9,NEO4813
156,E28038212000602702ED2616,NIU9282
157,E28038212000602607C0C01A,NBK4107
158,E28038212000602607C14648,NBG6695
159,E28038212000602702ED241E,NFG2933
160,E28038212000602702ED25B5,NBC5293
161,E28038212000602702ED2361,NAP6195
162,E28038212000602702ED238A,NDD7439
163,E28038212000602702ED2559,CAL1589
164,E28038212000602702ED268F,
165,E28038212000602702ED1FE4,AMA2778
166,E28038212000602702ED262A,NEW4675
167,E28038212000602607C0E4E8,NBG6679
168,E28038212000602607C09C25,NEM7160
169,E28038212000602702ED2629,NFL1185
170,E28038212000602702ED23FB,CCE1040
171,E28038212000602607C06E0A,NIO9179
172,E28038212000602702ED2531,NDC7106
173,E28038212000602702ED23E6,NIO4016
174,E28038212000602702ED2632,CAI1751
175,E28038212000602702ED230B,NFS5381
176,E28038212000602702ED206F,NAP6184
